English,EnglishMeaning,POS,EnglishPronunciation ,Lang,EnglishSentence,EnglishSentenceTranslate,EnglishAudio,LangAudio
someone,an important person,noun,someone,کسی,"If you want to be someone, you have to work at it.","اگر می خواهید کسی باشید، باید در آن کار کنید.",,
end,conclusion,noun,end,پایان,The end of the summer is approaching.,پایان تابستان نزدیک است.,,
end,extremity,noun,end,پایان,Each end of the rope was tied to a tree on either side of the ravine.,هر انتهای طناب به یک درخت در هر دو طرف دره گره خورده بود.,,
end,limit,noun,end,پایان,There is an end to my patience.,پایان دادن به صبر من وجود دارد.,,
end,death,noun,end,پایان,My end is approaching.,پایان من نزدیک است,,
end,remaining part,noun,end,پایان,He ate everything except the end of the loaf.,او همه چیز را به جز پایان لاف خورد.,,
end,area,noun,end,پایان,The town is located at the northern end of the country.,این شهر در انتهای شمالی کشور واقع شده است.,,
end,side,noun,end,پایان,He's the one who handles the legal end of the firms' affairs.,او کسی است که پایان قانونی امور شرکت ها را اداره می کند.,,
end,purpose,noun,end,پایان,The end is to achieve the funding needed.,پایان دادن به دستیابی به بودجه مورد نیاز است.,,
end,outcome,noun,end,پایان,They seem to firmly believe that the end justifies the means.,به نظر می رسد که آنها به شدت معتقدند که پایان این ابزار را توجیه می کند.,,
end,sports,noun,end,پایان,How often do the players change ends on the court?,چگونه بازیکنان تغییر می کنند در دادگاه به پایان می رسد؟,,
end,to finish,transitive verb,end,پایان,I don't know how to end this relationship.,من نمی دانم چگونه این رابطه را پایان دهم.,,
end,to eradicate,transitive verb,end,پایان,The measures were designed to end land speculation.,اقدامات برای پایان دادن به گمانه زنی های زمین طراحی شده است.,,
change,to alter,transitive verb,change,تغییر دادن,The presenter changed outfits three times during the ceremony.,ارائه دهنده سه بار در مراسم تغییر کرد.,,
change,to exchange,transitive verb,change,تغییر دادن,I changed dollars into pesos as soon as I arrived in Mexico City.,"به محض ورود به شهر مکزیکو، دلار به پزوس تغییر دادم.",,
change,to put a fresh diaper on,transitive verb,change,تغییر دادن,I just changed the baby and he's already dirtied another diaper.,من فقط کودک را عوض کردم و او قبلا پوشک دیگری را جلب کرد.,,
change,to become different,intransitive verb,change,تغییر دادن,I want to go to the reunion to see how everyone has changed.,من می خواهم به پیوند بروم تا ببینم چگونه هرکسی تغییر کرده است.,,
change,to put on new clothes,intransitive verb,change,تغییر دادن,She changed after going to the gym.,او پس از رفتن به ورزشگاه تغییر کرد.,,
change,to exchange modes of transport,intransitive verb,change,تغییر دادن,"To go downtown, you have to change at the next stop.","برای رفتن به مرکز شهر، شما باید در توقف بعدی تغییر دهید.",,
change,new and different situation,noun,change,تغییر دادن,"After ten years in New York, I just felt a change was necessary.","پس از ده سال در نیویورک، من فقط احساس تغییر لازم بود.",,
change,alteration,noun,change,تغییر دادن,There has been a change in our plans.,تغییرات در برنامه های ما تغییر کرده است.,,
change,small coins,noun,change,تغییر دادن,I hate carrying around change in my pockets.,من نفرت دارم که در جیب هایم تغییر می کنم.,,
change,money returned,noun,change,تغییر دادن,Keep the change!,نگه داشتن تغییر!,,
change,another set of clothes,noun,change,تغییر دادن,Don't forget to pack a change of clothes when you go to the swimming pool.,"فراموش نکنید که هنگام رفتن به استخر شنا، تغییر لباس را بسته کنید.",,
however,nevertheless,adverb,however,با این حال,"I like listening to music; however, I don't like going to concerts.","من دوست دارم گوش دادن به موسیقی؛ با این حال، من دوست ندارم به کنسرت.",,
however,no matter how,adverb,however,با این حال,"However hard it is, I choose to forgive.","با این حال سخت است، من تصمیم می گیرم ببخشید.",,
however,how,adverb,however,با این حال,However did you get there?,با این حال شما آنجا را گرفتید؟,,
however,as,conjunction,however,با این حال,Do your hair however you like.,موهای شما را دوست دارید.,,
around,in all directions,adverb,around,دور و بر,He was looking around but couldn't spot us.,او به اطراف نگاه کرد اما نمیتوانست ما را ببیند,,
around,in the vicinity,adverb,around,دور و بر,I know he's around somewhere.,من می دانم او در اطراف جایی است.,,
around,in existence,adverb,around,دور و بر,Email was not around back then; you would fax things instead.,ایمیل در اطراف نبود؛ شما به جای آن چیزهایی را فکس می کنید.,,
around,in all parts of,preposition,around,دور و بر,The lion was pacing around his enclosure.,شیر در اطراف محوطه خود قدم می زد.,,
around,encircling,preposition,around,دور و بر,We gathered around the fire to tell ghost stories.,ما در اطراف آتش کشیدیم تا داستان های ارواح را بگویم.,,
around,approximately,preposition,around,دور و بر,A flight to London typically costs around a thousand dollars.,پرواز به لندن معمولا حدود هزار دلار هزینه می کند.,,
hour,period of time,noun,hour,ساعت,I'm paid by the hour.,من تا ساعت پرداختم,,
hour,precise time of day,noun,hour,ساعت,A ferry leaves for the island at a quarter past the hour.,یک کشتی کشتی برای این جزیره در یک چهارم گذشته از ساعت برگزار می شود.,,
hour,moment,noun,hour,ساعت,Losing the championship was not the team's finest hour.,"از دست دادن قهرمانی، بهترین ساعت تیم نبود.",,
hours,a long time,plural noun,hours,ساعت ها,"She said she's nearly finished making the dress, but she's been saying that for hours.","او گفت او تقریبا به پایان رسید لباس، اما او گفته است که برای ساعت ها.",,
hours,fixed period,plural noun,hours,ساعت ها,"Our business hours are from 10 am to 6 pm, Monday through Friday.","ساعتهای کاری ما از ساعت 10 صبح تا 6 بعد از ظهر، دوشنبه تا جمعه است.",,
hours,indefinite time of day,plural noun,hours,ساعت ها,"In the early hours of Thursday morning, the town awoke to a volcanic eruption.","در اوایل صبح روز پنج شنبه، شهر به فوران آتشفشانی بیدار شد.",,
everything,all,pronoun,everything,همه چیز,Everything is finally ready for the party tonight.,امشب همه چیز برای حزب آماده است.,,
everything,the most important thing,pronoun,everything,همه چیز,Your answer means everything to me.,پاسخ شما به معنای همه چیز به من است.,,
national,pertaining to a country,adjective,national,ملی,Some citizens see immigration as a threat to their national identity.,بعضی از شهروندان مهاجرت را به عنوان تهدیدی برای هویت ملی خود می بینند.,,
